date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:19	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/et-line.eot?	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/et-lined41d.eot	(from http://jeanarbo.com/css/plugins/et-line.css)
15:20:19	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:20:19%20GMT	http://jeanarbo.com/fonts/et-line.svg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/et-line.svg	(from http://jeanarbo.com/css/plugins/et-line.css)
15:20:25	55220/55220	---M--	200	added ('OK')	font/woff	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/et-line.woff	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/et-line.woff	(from http://jeanarbo.com/css/plugins/et-line.css)
15:22:06	629908/629908	---M--	200	added ('OK')	font/woff	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/icofont.woff?v=1.0.0-beta	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/icofont7858.woff	(from http://jeanarbo.com/css/plugins/icofont.css)
15:22:07	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:22:07%20GMT	http://jeanarbo.com/fonts/icofont.svg?v=1.0.0-beta	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/icofont.3c7858.delayed	(from http://jeanarbo.com/css/plugins/icofont.css)
15:22:23	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-brands-400.eot	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:22:39	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-brands-400.eot?	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400d41d.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:22:48	54420/54420	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-brands-400.woff2	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400.woff2	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:22:59	63712/63712	---M--	200	added ('OK')	font/woff	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-brands-400.woff	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400.woff	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:03	1018784/1018784	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/icofont.eot?v=1.0.0-beta	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/icofont7858.eot	(from http://jeanarbo.com/css/plugins/icofont.css)
15:23:03	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:23:03%20GMT	http://jeanarbo.com/fonts/fa-brands-400.svg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400.42.delayed	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:03	1018620/1018620	---M--	200	added ('OK')	font/ttf	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/icofont.ttf?v=1.0.0-beta	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/icofont7858.ttf	(from http://jeanarbo.com/css/plugins/icofont.css)
15:23:06	12220/12220	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-regular-400.woff2	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400.woff2	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:09	14712/14712	---M--	200	added ('OK')	font/woff	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-regular-400.woff	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400.woff	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:09	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-regular-400.eot	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:14	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-regular-400.eot?	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400d41d.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:14	30928/30928	---M--	200	added ('OK')	font/ttf	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-regular-400.ttf	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400.ttf	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:14	98384/98384	---M--	200	added ('OK')	font/ttf	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-brands-400.ttf	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-brands-400.ttf	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:14	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:23:14%20GMT	http://jeanarbo.com/fonts/fa-regular-400.svg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-regular-400.svg	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:21	38784/38784	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-solid-900.woff2	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900.woff2	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:23	48704/48704	---M--	200	added ('OK')	font/woff	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-solid-900.woff	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900.woff	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:31	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-solid-900.eot	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:31	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:23:31%20GMT	http://jeanarbo.com/fonts/fa-solid-900.svg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900.4c.delayed	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:31	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:23:31%20GMT	http://jeanarbo.com/css/images/close.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/images/close.png	(from http://jeanarbo.com/css/plugins/YouTubePopUp.css)
15:23:32	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2020:23:31%20GMT	http://jeanarbo.com/css/plugins/owl.video.play.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/owl.video.play.png	(from http://jeanarbo.com/css/plugins/owl.carousel.min.css)
15:23:36	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-solid-900.eot?	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900d41d.eot	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:23:37	101932/101932	---M--	200	added ('OK')	font/ttf	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/fa-solid-900.ttf	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/fa-solid-900.ttf	(from http://jeanarbo.com/css/plugins/fontawesome-all.min.css)
15:24:58	3341550/3341550	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Apr%202017%2018:51:50%20GMT	http://jeanarbo.com/img/portfolio/designex2big.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/designex2big.png	(from http://jeanarbo.com/)
